texts,texts_deepcut,action,object,destination
สอบถาม package internet ว่ามีแบบไหนบ้างครับ,สอบถาม package internet ว่า มี แบบ ไหน บ้าง ครับ,enquire,promotion,promotions
พอดีพี่ซื้อเบอร์ซิม Inter ไปแล้ว แต่ยังไม่ได้ลงทะเบียนค่ะ ถ้าพี่อยากใช้เบอร์นี้ต่อก็ใช้ได้ใช่มั้ย,พอดี พี่ ซื้อ เบอร์ซิม Inter ไป แล้ว แต่ ยัง ไม่ ได้ ลง ทะเบียน ค่ะ ถ้า พี่ อยาก ใช้ เบอร์ นี้ ต่อ ก็ ใช้ ได้ ใช่ มั้ย,enquire,detail,billing and payment
ค่ะ พี่ค่ะ คืออยู่ๆ เน็ตเล่นไม่ได้อ่ะค่ะ,ค่ะ พี่ ค่ะ คือ อยู่ ๆ เน็ต เล่น ไม่ ได้ อ่ะ ค่ะ,enquire,internet,internet
การเปลี่ยน ระบบจาก ทรู เป็น ทรูเอช มีค่าบริการด้วยหรอค่ะ,การ เปลี่ยน ระบบ จาก ทรู เป็น ทรูเอช มี ค่า บริการ ด้วย หรอค่ะ,enquire,rate,promotions
เช็คให้หน่อยได้ไหมครับ ว่าเบอร์ของผม เปลี่ยนเป็นบุฟเฟ่ต์ บาทรึยัง,เช็ค ให้ หน่อย ได้ ไหม ครับ ว่า เบอร์ ของ ผม เปลี่ยน เป็น บุฟเฟ่ต์ บาทรึยัง,enquire,package,promotions
จะโทรแจ้งอายัดซิมอ่ะค่ะ ซิมหาย,จะ โทร แจ้ง อายัด ซิม อ่ะ ค่ะ ซิมหาย,report,lost_stolen,lost and stolen
ค่า พออยากจะขอ PUK Code เป็นดาต้าซิมที่ใช้เลขกับไอแพดแล้วพอดีแล้วคุณแม่ไปดันล็อกซิมเอาไว้ค่ะ,ค่า พอ อยาก จะ ขอ PUK Code เป็น ดา ต้า ซิม ที่ ใช้ เลข กับ ไอแพด แล้ว พอดี แล้ว คุณ แม่ ไป ดัน ล็อก ซิม เอา ไว้ ค่ะ,enquire,mobile_setting,internet
ความเร็วอินเตอร์เน็ตของทรูสูงสุดเท่าไรครับตอนนี้,ความ เร็ว อินเตอร์เน็ต ของ ทรู สูง สุด เท่า ไร ครับ ตอน นี้,enquire,internet,internet
ได้โบนัสมา ใช้งานโบนัสยังไง,ได้ โบนัส มา ใช้ งาน โบนัสยัง ไง,enquire,promotion,promotions
อยากทราบว่ายอดที่ชำระเหลือเท่าไหร่คะ ยอดที่ค้างชำระค่ะ,อยาก ทราบ ว่า ยอด ที่ ชำระ เหลือ เท่า ไหร่ คะ   ยอด ที่ ค้าง ชำระ ค่ะ,enquire,balance,billing and payment
สมัครอินเตอร์เน็ตมีราคาเท่าไหร่บ้างค่ะ,สมัคร อินเตอร์เน็ต มี ราคา เท่า ไหร่ บ้าง ค่ะ,enquire,promotion,promotions
ครับ คือผมจะเรียนสอบถามครับ เกี่ยวกับอินเตอร์เน็ตครับ ของผมมันได้ GB ครับ อยากสอบถามของผมใช้ไปเท่าไรแล้วครับ,ครับ คือ ผม จะ เรียน สอบถาม ครับ เกี่ยว กับ อินเตอร์เน็ต ครับ ของ ผม มัน ได้ GB ครับ อยาก สอบถาม ของ ผม ใช้ ไป เท่า ไร แล้ว ครับ,enquire,balance,billing and payment
สอบถามวอทแอพ,สอบถาม วอทแอพ,enquire,internet,internet
พอดีจะขอเช็คอีมี่ไอโฟนหน่ะค่ะ ว่าเป็นของทรูมูฟหรือเปล่า,พอดี จะ ขอ เช็ค อี มี่ ไอโฟน หน่ะ ค่ะ ว่า เป็น ของ ทรู มูฟ หรือ เปล่า,enquire,mobile_setting,internet
ขอเปลี่ยนpackageค่ะ,ขอ เปลี่ยน packageค่ะ,change,package,promotions
อยากจะเปลี่ยนชั่วโมงอินเตอร์เน็ตจะสมัครแพคเกจใหม่อ่ะค่ะ,อยาก จะ เปลี่ยน ชั่วโมง อินเตอร์เน็ต จะ สมัคร แพคเกจ ใหม่ อ่ะค่ะ,change,package,promotions
ซื้อแพ็กเก็จเพิ่มค่ะ,ซื้อ แพ็ก เก็จ เพิ่ม ค่ะ,buy,package,promotions
อยากจะถามเรื่อง อินเตอร์เน็ต,อยาก จะ ถาม เรื่อง อินเตอร์เน็ต,enquire,internet,internet
เสียบสาย USB เสียบกับคอมแล้วมันเข้าอินเตอร์เน็ตไม่ได้ค่ะ,เสียบสาย USB เสียบ กับ คอม แล้ว มัน เข้า อินเตอร์เน็ต ไม่ ได้ ค่ะ,enquire,nontruemove,other queries
สอบถามครับผมซื้อ sim เติมเงินมาแล้วมันใช้ไม่ได้,สอบถาม ครับ ผม ซื้อ sim เติม เงิน มา แล้ว มัน ใช้ ไม่ ได้,report,phone_issues,billing and payment
ครับผมอยากสอบถาม ถ้าเบอร์ของผม ตอนนี้ใช้นาทีละ บาท อยาเปลี่ยนเป็น SIM ฮักกันครับ,ครับ ผม อยาก สอบถาม ถ้า เบอร์ ของ ผม ตอน นี้ ใช้ นาที ละ บาท อยา เปลี่ยน เป็น SIM ฮักกัน ครับ,change,package,promotions
