call_id,start_time,end_time,duration,transcript
TMC161_mix_6e2wk,0 min 0 sec,0 min 7 sec,7.14,using The stranded
TMC161_mix_6e2wk,1 min 11 sec,1 min 15 sec,3.18,มันมีลางสังหรณ์ดีแน่ๆ
TMC161_mix_6e2wk,1 min 15 sec,1 min 19 sec,3.66,ดีครับ
TMC161_mix_6e2wk,1 min 44 sec,1 min 57 sec,13.08,คำถามแบบกุ๊กกิ๊กนะทั้งถามทางทัศนคติถามทางด้านน้ำมีอารมณ์เข้ามาเกี่ยวข้องเยอะผู้ชายก็จะเป็นแนวแบบดุดันเลยครับไม่ลงไม่ลงทุนสุดๆไปเลยก็แบบ
TMC161_mix_6e2wk,1 min 57 sec,2 min 0 sec,2.85,มาเลยมาเลยครับพี่
TMC161_mix_6e2wk,2 min 0 sec,2 min 3 sec,3.18,น้องคนนี้ครับไม่ได้บอกชื่อมานะแต่บอกว่า
TMC161_mix_6e2wk,2 min 4 sec,2 min 9 sec,5.10,สวัสดีค่ะโค้ชหนุ่มพี่โอมสบายดีไหมคะสบายดีครับสบายดีครับ
TMC161_mix_6e2wk,2 min 9 sec,2 min 12 sec,2.67,พอดีช่วงนี้หันไปทางไหนก็เจอแต่เรื่องนี้
TMC161_mix_6e2wk,2 min 12 sec,2 min 18 sec,5.61,เดี๋ยวใจเย็นพี่ประโยคเปิด
TMC161_mix_6e2wk,2 min 18 sec,2 min 26 sec,7.59,เลยอยากชวนโค้ชคุยเรื่องอื่นเปลี่ยนบรรยากาศบ้างค่ะ
TMC161_mix_6e2wk,2 min 26 sec,2 min 37 sec,11.07,หนูอยากขอคำแนะนำจากพี่ๆทั้งสองเรื่องการออมเงินสำหรับอนาคตครับผมอนาคตเป็นยังไงลองฟังดูนะครับพอดีว่าหนูเดทกับชาวต่างชาติ
TMC161_mix_6e2wk,2 min 37 sec,2 min 39 sec,1.98,วงเล็บสิงคโปร์
TMC161_mix_6e2wk,2 min 40 sec,2 min 43 sec,3.75,คบกันมาเกือบ 3 ปีแล้ว
TMC161_mix_6e2wk,2 min 44 sec,2 min 46 sec,2.37,จริงจังแล้วนะไข่ปลา 2 จุด
TMC161_mix_6e2wk,3 min 11 sec,3 min 14 sec,3.27,ถ้าลุงยังอยู่ยาวเขาพิมพ์มา
TMC161_mix_6e2wk,3 min 14 sec,3 min 23 sec,9.06,คนเดียวกับพี่หรือเปล่าหมายถึงถ้ายังไม่เลิกกับแฟนค่ะฮ่าๆๆ
TMC161_mix_6e2wk,3 min 23 sec,3 min 29 sec,5.79,จึงอยากขอคำแนะนำจากโค้ชว่ามีทั้งหมด 3 ข้อโดยการภาพ 3 ข้อด้วยกันนะครับ
TMC161_mix_6e2wk,3 min 30 sec,3 min 34 sec,3.96,การออมเงินนั้นเราควรแลกสกุลเงินต่างประเทศแล้วเก็บ
TMC161_mix_6e2wk,3 min 39 sec,3 min 48 sec,8.94,หากควรแลกเก็บไว้ควรเก็บเป็น Singapore Dollar หรือ US Dollar หรือหยวนหรือยูโรดีคะหนูมาหลากหลายน่ารักๆครับพี่
TMC161_mix_6e2wk,3 min 49 sec,3 min 56 sec,6.75,มีเครื่องมือไหนที่ช่วยลดความเสี่ยงอัตราแลกเปลี่ยนในอนาคตแนะนำไหมคะ
TMC161_mix_6e2wk,3 min 56 sec,4 min 0 sec,3.54,ตอนนี้อายุ 28 ปีครับรายได้ประมาณเดือนละ
TMC161_mix_6e2wk,4 min 0 sec,4 min 1 sec,1.05,"40,000 บาท"
