0,labels,len,texts
,neutral,,หุ้นที่ซื้อกองทุนที่ซื้อหุ้นหล่อขนาดนี้ผลตอบแทนต้องหล่อได้ไหม
,neutral,81.0,ไม่ทราบว่าถ้าเลือกเปิดบัตรเซนทรัลเดอะวันอย่างเดียว หรือควรเก็บไว้ทั้งสองบัตรดีค่ะ
,neutral,,ตลาดหลักทรัพย์หรือหุ้น
,positive,14.0,บริการดีมากเลย
,neutral,,เล่นหุ้นต้องศึกษาไม่ใช่ว่าตามเพื่อนส่วนใหญ่คนชอบตามเพื่อน
,neutral,72.0,เดาใจธนาคารอยากจริงๆครับ ผมเองก็ประสบปัญหาเดียวกัน ทำงานมาเกือบ 8 ปีแล้ว
,neutral,,1.3
,neutral,,อาจจะเน้นอย่างนี้ครับ 1 ก็คือ
,neutral,,อันนี้คือข้อเท็จจริงที่เกิดขึ้นแต่ละบริษัท
,negative,44.0,เนื่องจากธนาคารมีการลดวงเงินกดเงินสดเหลือ 15
,positive,45.0,เจ้าหน้าที่บริการดี และบัตรขออะไรได้อย่างนั้น
,neutral,,เริ่มวางการลงทุนในรูปแบบนั้นมันก็โอเคนะครับส่วนอันอื่น
,neutral,30.0,สมัครบัตรเคดิต ไม่ผ่าน ทำยังไง
,neutral,,เหตุการณ์ที่เกิดขึ้นนะครับเรื่องของตัว
,neutral,,ความผิดพลาดที่จะตามมา
,neutral,,โดยรวมนะจะดีกว่าคุณทำอะไร
,neutral,13.0,ตำแหน่งสูงมาก
,neutral,,วันนี้พออยู่ก็จะขอเสียงหน่อยเวลาแบบนี้
,neutral,,Ok จะถามพี่นัท
,neutral,,เราเลือกจากตรงนี้โอกาสน้อยนะที่จะได้ไม่ค่อยดีแต่ว่าเราซื้อ ssf ในช่วงนี้ที่มันจะหมดเขตแล้วนะเนี่ย
,neutral,,ยกตัวอย่างเช่น
,neutral,,เขาเรียกว่ามันติดกับดักสภาพคล่องก็เหมือนจะคล่อง
,positive,51.0,ขอบคุณมากเลย ยากมาก ถ้าไม่ได้คำแนะนำทำไม่เป็นเลยค่ะ
,neutral,,ทุกปีก็เก็บไว้ในเก๊ะ
,neutral,,กลุ่ม telco
,neutral,46.0,สุขภาพไม่ดีสะสมตามมา จะมีปัญหาตอนเข้าวัยกลางคน
,positive,17.0,ดีมาก เคลียหมดเลย
,neutral,,ธุรกิจก็อาจจะ
